message_id,date,sender,text,views,threat_level
msg_-1002214903849_14028,2026-07-25T08:49:38+00:00,5891012599,doesnt work bro,10,LOW
msg_-1002214903849_14027,2026-07-25T08:45:50+00:00,6701286355,I don't have a link at all.,10,LOW
msg_-1002214903849_14025,2026-07-25T08:45:12+00:00,6701286355,?,10,LOW
msg_-1002214903849_14024,2026-07-25T08:44:55+00:00,5891012599,😂😂😂,10,LOW
msg_-1002214903849_14023,2026-07-25T08:41:50+00:00,6701286355,sent me link,10,LOW
msg_-1002214903849_14022,2026-07-25T08:41:17+00:00,5891012599,It wont work for me because it needs strong internet connection,10,LOW
msg_-1002214903849_14021,2026-07-25T08:40:36+00:00,5891012599,the internet is weak in syria bro,10,LOW
msg_-1002214903849_14020,2026-07-25T08:38:48+00:00,7397663362,But the websites its not mine,10,LOW
msg_-1002214903849_14019,2026-07-25T08:38:43+00:00,7397663362,Its onion,10,LOW
msg_-1002214903849_14018,2026-07-25T08:37:05+00:00,5891012599,true not onion,10,LOW
msg_-1002214903849_14017,2026-07-25T08:36:45+00:00,5891012599,u have domain,10,LOW
msg_-1002214903849_14016,2026-07-25T08:36:07+00:00,7397663362,Naaah i think pis013 forum its better,10,LOW
msg_-1002214903849_14014,2026-07-25T08:35:03+00:00,5891012599,mh my god,10,LOW
msg_-1002214903849_14013,2026-07-25T07:20:30+00:00,6101553209,Raidforums down ?,10,LOW
msg_-1002214903849_14007,2026-07-24T07:51:21+00:00,8715823626,Send me dm,10,LOW
msg_-1002214903849_14003,2026-07-23T18:26:28+00:00,479673447,how i can have informations about tiktok account i pay 100$,10,LOW
msg_-1002214903849_14002,2026-07-23T17:49:05+00:00,5891012599,eligible,10,LOW
msg_-1002214903849_14001,2026-07-23T17:08:37+00:00,7870772790,Amazon Ledger leads available (people who bought Ledger on Amazon). NON-RAPED: Leads are manually collected by checking Amazon email:password combos for crypto-related purchases.  I can send a few sample lines for free until you get live vic with ledger theough call so you can verify they're not public leads.  3$ per line or 2.5$+10% after cashout  name+phone+mail+ledger wallet name+shipping addy+order number+order date,10,LOW
msg_-1002214903849_14000,2026-07-23T15:20:37+00:00,6701286355,Selling ledger coinbase data,10,LOW
msg_-1002214903849_13999,2026-07-23T15:19:46+00:00,7215916980,teach me to attack a website,10,LOW
msg_-1002214903849_13997,2026-07-23T13:56:39+00:00,1260357292,shit ma girl left me guys omg im gona dieee omg 😖,10,LOW
msg_-1002214903849_13996,2026-07-23T13:56:21+00:00,1260357292,but too bad,10,LOW
msg_-1002214903849_13995,2026-07-23T13:56:16+00:00,1260357292,i need friends too yes,10,LOW
msg_-1002214903849_13994,2026-07-23T13:55:57+00:00,7215916980,"Hello friends, can we be friends?",10,LOW
msg_-1002214903849_13992,2026-07-23T13:36:35+00:00,858123428,Seeking to purchase a large quantity of NL base combinations Ищу покупателя для приобретения большого количества базовых комбинаций NL.,10,LOW
msg_-1002214903849_13991,2026-07-23T12:58:35+00:00,7390416221,I need link breach please,10,LOW
msg_-1002214903849_13990,2026-07-23T12:40:23+00:00,1347724371,Anyone have paypal USA dm now',10,LOW
msg_-1002214903849_13989,2026-07-23T12:39:44+00:00,5891012599,thank u,10,LOW
msg_-1002214903849_13988,2026-07-23T12:39:12+00:00,8446373426,I think so—let me check.,10,LOW
msg_-1002214903849_13987,2026-07-23T12:38:18+00:00,5891012599,ok,10,LOW
msg_-1002214903849_13986,2026-07-23T12:37:25+00:00,8446373426,Nop,10,LOW
