message_id,date,sender,text,views,threat_level
msg_-1004350724129_68,2026-07-16T15:23:44+00:00,-1004350724129,"🚨  **Taiwan Military Equipment Record Leak**  * **Forum:** darkforum * **Author:** jrintel * **Data Types:** Credentials, PII * **Sectors:** Government  The alert is about a leak of Taiwan's military equipment records. The data types involved are credentials and personally identifiable information (PII). The sectors affected are government institutions.  **Thread Title:** Taiwan Military Equipment Record Leak   **Telegram Contacts:**  * departmentofshit * hubzXjrintel * DarkForumsNews * addlist/tUVXqj5b4jM5YTA0  This alert is generated based on the provided data and follows the exact template specified.  📬 For incident response and full report: Contact @ThreatActix_Admin",2,LOW
msg_-1004350724129_67,2026-07-16T15:22:59+00:00,-1004350724129,"🚨 **DARKNET ALERT SYSTEM**  • **Title:** 1M+ Valid USA Forex 1 Million @LastWolfStanding • **Forum:** darkforum • **Author:** Crypt0Heist • **Data Type:** Credentials (Forex Leads) • **Sector:** Unknown • **Observed:** 2025-12-25 04:55:04  **Structured Alert:** • **Threat:** Exposure of 1M+ valid USA Forex leads, potentially compromising user credentials. • **Forum Link:** `************` • **Exposed Data:** User credentials (email addresses, names) for 1 million USA Forex clients • **Impacted Sector:** Unknown • **Risk Level:** High  📬 For incident response and full report: Contact @ThreatActix_Admin",3,LOW
msg_-1004350724129_66,2026-07-16T15:21:40+00:00,-1004350724129,"**🚨 ALERT 🚨**  **1Million+ USA Crypto.com Leads**  A new database containing over 1 million records of USA users from Crypto.com has been leaked online.  The database includes:  * **PII**: Personal Identifiable Information (names, emails, phone numbers, etc.)  The leak is attributed to a user named ""Crypt0Heist"" on the Dark Forum, who shared a link to download the database in Excel format. The user also provided a Telegram contact for more information.  **Download Link:** https://anonfilesnew.com/S20B43gcwKi/1M+_Crypto.com_USA_Database@Crypt0Heist.xlsx  **For more info DM me on TG:** https://t.me/Crypt0Heist  📬 For incident response and full report: Contact @ThreatActix_Admin",3,LOW
msg_-1004350724129_65,2026-07-16T15:20:52+00:00,-1004350724129,"🚨 **DARKNET ALERT SYSTEM**  • **Title:** Pakistan National Citizenship Database Leaked, Download! • **Forum:** darkforum • **Author:** Knox • **Data Type:** Credentials, Database, PII • **Sector:** Unknown • **Observed:** 2025-12-25 04:55:24  **Structured Alert:** • **Threat:** Exposed Pakistan National Citizenship Database containing sensitive information. • **Forum Link:** `************` • **Exposed Data:** User credentials, names, CNIC numbers, and addresses. • **Impacted Sector:** Unknown • **Risk Level:** High  📬 For incident response and full report: Contact @ThreatActix_Admin",3,LOW
msg_-1004350724129_64,2026-07-16T15:19:43+00:00,-1004350724129,"🚨 **DATA BREACH ALERT** 🚨  * **Source:** darkforum * **Type:** Credentials, Database, PII * **Sector:** Government * **Description:** Lapor.go.id leak * **Author:** Tanakaa * **Telegram Contacts:**  + DarkForumsNews * **Data Types:**  + Credentials  + Database  + PII  **Hidden Content Found**  You must register or login to view this content.  **Screenshot:** [screenshot URL]  **Crawler ID:** darkforum_one_shot **Created At:** 2025-12-25 04:55:33.369000 **Forum:** darkforum **Network:** tor  This alert is generated based on the provided data and follows the exact template specified.  📬 For incident response and full report: Contact @ThreatActix_Admin",3,LOW
msg_-1004350724129_63,2026-07-16T15:18:43+00:00,-1004350724129,"🚨 **DARKNET ALERT SYSTEM**  • **Title:** AXIS Data Breach, Leaked - Download • **Forum:** darkforum • **Author:** KaruHunters • **Data Type:** Credentials • **Sector:** Technology • **Observed:** 2025-12-25  **Structured Alert:** • **Threat:** Source code and sensitive data leaked, including user credentials. • **Forum Link:** `************` • **Exposed Data:** User credentials, Setup IP, github Project, gitlab, SSH, tools, etc. • **Impacted Sector:** Technology • **Risk Level:** High  📬 For incident response and full report: Contact @ThreatActix_Admin",3,LOW
msg_-1004350724129_62,2026-07-16T15:17:45+00:00,-1004350724129,"🚨 **DARKNET ALERT SYSTEM**  • **Title:** DATABASE OF tilang.pn-solok.go.id HAS BEEN LEAKED BY WAHSD • **Forum:** darkforum • **Author:** WASHD • **Data Type:** Credentials, Database • **Sector:** Unknown • **Observed:** 2025-12-25  **Structured Alert:** • **Threat:** A database containing user credentials has been leaked by WAHSD. • **Forum Link:** `************` • **Exposed Data:** id_tilang, tgl, nama, denda, jeken, nopol, pasal, alamat, barbuk, no_seri, verstek, subsider, no_perkara • **Impacted Sector:** Unknown • **Risk Level:** High  📬 For incident response and full report: Contact @ThreatActix_Admin",3,LOW
msg_-1004350724129_61,2026-07-16T15:16:15+00:00,-1004350724129,🚨 *DARKNET ALERT SYSTEM*  *Source:* Unknown Source *Type:* Data Leak *Status:* System unable to parse details via LLM.  _Verify data manually in MongoDB._  📬 For incident response and full report: Contact @ThreatActix_Admin,3,LOW
msg_-1004350724129_60,2026-07-16T15:15:57+00:00,-1004350724129,🚨 *DARKNET ALERT SYSTEM*  *Source:* Unknown Source *Type:* Data Leak *Status:* System unable to parse details via LLM.  _Verify data manually in MongoDB._  📬 For incident response and full report: Contact @ThreatActix_Admin,3,LOW
msg_-1004350724129_59,2026-07-16T15:15:47+00:00,-1004350724129,🚨 *DARKNET ALERT SYSTEM*  *Source:* Unknown Source *Type:* Data Leak *Status:* System unable to parse details via LLM.  _Verify data manually in MongoDB._  📬 For incident response and full report: Contact @ThreatActix_Admin,3,LOW
