message_id,date,sender,text,views,threat_level
msg_-1003648983354_10,2026-04-18T20:42:45+00:00,-1003648983354,"Addressing the recent site downtime, we're experiencing issues with our hosting provider, which has caused our servers to be offline for the past 36 hours.  The situation should be resolved in 2 to 3 days, as it's the weekend and we'll need some time to get everything sorted out.  We're truly sorry for any inconveniences caused.",3092,LOW
msg_-1003648983354_11,2026-04-21T18:56:05+00:00,-1003648983354,"Forum is back online, sorry for the delay.  https://pwnforums.st http://pwnfrm7rbf6kyerigxi677lcz5ifmoagdbqqknwdu2by27wfdst5qmqd.onion",3164,LOW
msg_-1003648983354_13,2026-05-06T13:31:15+00:00,-1003648983354,PwnForums.st clearnet domain is back online. We apologize for the downtime.,2510,LOW
msg_-1003648983354_14,2026-05-11T09:05:58+00:00,-1003648983354,🎁 **GIVEAWAY!**  🏆 Prize: **$400** ⏰ Ends: **09:02 AM on 06/12/2026** 👥 Participants: **1**  Click the button below to enter! __You must be a member of PwnForums - Chat (____t.me/PwnShoutbox____).__,2828,LOW
msg_-1003648983354_15,2026-05-15T13:57:54+00:00,-1003648983354,"🆘 Rule Update 🆘  Any activity regarding sharing or selling of data originating from Russia & the CIS are now forbidden.  Threads found to violate this rule will be deleted and you will be warned, any further violations will result in your forum account being banned.  Full announcement: http://pwnfrm7rbf6kyerigxi677lcz5ifmoagdbqqknwdu2by27wfdst5qmqd.onion/Thread-IMPORTANT-READ-Statement-Regarding-Russian-Data-CIS",3350,LOW
msg_-1003648983354_16,2026-05-21T20:12:08+00:00,-1003648983354,"Hi, the forum is now online again and you can access it via the clearnet or onion service. The CDN is expected to be operational again within 6-8 hours.  https://pwnforums.st/ http://pwnfrm7rbf6kyerigxi677lcz5ifmoagdbqqknwdu2by27wfdst5qmqd.onion/",3246,LOW
msg_-1003648983354_17,2026-06-06T09:37:02+00:00,-1003648983354,"The clearnet is now back online: https://pwnforums.st/.  If you wish you can also access the forum using the onion service: http://pwnfrm7rbf6kyerigxi677lcz5ifmoagdbqqknwdu2by27wfdst5qmqd.onion/  All functionality including shoutbox, escrow, and CDN are currently operational.",2674,LOW
msg_-1003648983354_18,2026-06-25T03:14:14+00:00,-1003648983354,"Hi everyone, a cash prize is up for grabs for whoever can make it to the 1st on the credit gambling leaderboard. Whoever is first on the leaderboard on the start of each month will be given $300.  Games that count towards your profit: https://pwnforums.st/newpoints.php?action=roulette https://pwnforums.st/newpoints.php?action=bat  Full announcement for additional information: https://pwnforums.st/Thread-Monthly-Gambling-Leaderboard-300-to-1  http://pwnfrm7rbf6kyerigxi677lcz5ifmoagdbqqknwdu2by27wfdst5qmqd.onion/Thread-Monthly-Gambling-Leaderboard-300-to-1",1590,LOW
msg_-1003648983354_6,2026-04-05T13:46:10+00:00,-1003648983354,"Hi all, PwnForums is now online.  Clearnet domain: https://pwnforums.st/  Onion service: http://pwnfrm7rbf6kyerigxi677lcz5ifmoagdbqqknwdu2by27wfdst5qmqd.onion/  ---  To begin with, we would like to clarify about what happened to BreachForums. Around the date March 15 2026 breachforums[.]as was shut down by its' administrator ""N/A"" (aka ""Indra"") in attempt to pull off an exitscam. BreachForums stayed offline until 10 days later on March 25 2026 when ""N/A"" decided to relaunch the forum using a backup from February 11th on the domains breachforums[.]fi & breachforums[.]sb, this time using the alias ""Caine"". Upon the BreachForums staff becoming aware that ""Caine"" was the exitscammer ""N/A"", two days later on the 27th we all decided to resign. Soon after this point ""N/A"" presumably realized that he cannot run a forum without moderators, thus leading him to try and attempt to sell the forum once again.  This community deserves better than this. Thus, some old members along with the previous moderation team, decided to do something about it. We're happy to announce PwnForums - an independent forum not affiliated with the previous BreachForums administration, in collaboration with the BreachForums moderation team and some old timers. We also have BreachForums threads, posts and users upto March 28 2026, meaning you will be able to login using your account credentials from BreachForums and all of your posts and activity upto that date should be there.  --- You can read the full announcement here: https://pwnforums.st/Thread-IMPORTANT-READ-Welcome-to-PwnForums",8825,LOW
msg_-1003648983354_7,2026-04-06T16:04:58+00:00,-1003648983354,"Meet Angel Tsvetkov, better known by his aliases ""N/A"" and Caine.  Former BreachForums administrator to exitscammer, read his first dox here: https://justpaste.it/bulgarianclown  Credits to KeyserSoze1337 on Twitter for writing the paste, and credits to the PwnForums administration for obtaining the information.  If you want a more comprehensive report on Angel, he's now on our Wall of Shame: https://pwnforums.st/wallofshame?id=1",5279,LOW
msg_-1003648983354_9,2026-04-16T19:55:03+00:00,-1003648983354,"CDN is online and available. You should now be able to download any leak in our official databases section that you have unlocked with credits (https://pwnforums.st/Forum-Official), though if you encounter any issues then please contact one of the administrators.  Full announcement: https://pwnforums.st/Thread-CDN-is-Now-Back-Online   Onion: http://pwnfrm7rbf6kyerigxi677lcz5ifmoagdbqqknwdu2by27wfdst5qmqd.onion/Thread-CDN-is-Now-Back-Online",2895,LOW
