message_id,date,sender,text,views,threat_level
msg_-1001474058642_481922,2026-07-25T10:02:40+00:00,7811752003,Photocopy Link For BE 2019 Pattern Will Start from SPPU • Application Start Date : 23th July 2026 • Last Date to Apply : 2nd August 2026,10,LOW
msg_-1001474058642_481921,2026-07-25T10:02:27+00:00,7811752003,Photocopy Link For BE 2019 Pattern Will Start from SPPU • Application Start Date : 23th July 2026 • Last Date to Apply : 2nd August 2026,10,LOW
msg_-1001474058642_481920,2026-07-25T09:25:48+00:00,5446190810,"**Hey**, [Rahul](tg://user?id=1419426141) 👋. 𝕎𝕖𝕝𝕔 𝕥𝕠 @𝕊ℙℙ𝕌𝔹𝕋𝔼ℂℍ 🎉🎊    • ᵂᵉ ᵃᵖᵖʳᵉᶜⁱᵃᵗᵉ ʸᵒᵘʳ ᶜᵒⁿᵗʳⁱᵇᵘᵗⁱᵒⁿ ᶠᵒʳ ˢᵗᵘᵈʸ ᵐᵃᵗᵉʳⁱᵃˡˢ ❤️   • [ꜱɪʟᴇɴᴛ ɪɴᴠɪᴛᴇ ꜰᴇᴀᴛᴜʀᴇ](https://t.me/SPPUBTECH/1/126912) 🤫",10,LOW
msg_-1001474058642_481917,2026-07-25T08:49:04+00:00,913866550,Photocopy start kdhi honar ahe,10,LOW
msg_-1001474058642_481916,2026-07-25T08:18:56+00:00,1350643814,Hi,10,LOW
msg_-1001474058642_481912,2026-07-25T07:24:12+00:00,2065274634,Bhaii vo loag Saturday Sunday ko bhi exam lety hai 🙂,10,LOW
msg_-1001474058642_481907,2026-07-25T06:47:16+00:00,1628844812,ataa ha bro,10,LOW
msg_-1001474058642_481906,2026-07-25T06:44:04+00:00,1628844812,be project avilable,10,LOW
msg_-1001474058642_481904,2026-07-25T06:41:13+00:00,5914393037,Sat sund ko nahi ayega bro,10,LOW
msg_-1001474058642_481903,2026-07-25T06:40:59+00:00,7762136470,Hope it's come,10,LOW
msg_-1001474058642_481902,2026-07-25T06:40:45+00:00,5914393037,"This is not prediction this is spoiler  ""udya yeli 100% te2019""",10,LOW
msg_-1001474058642_481901,2026-07-25T06:17:54+00:00,1875043602,Te2019 result ?,10,LOW
msg_-1001474058642_481900,2026-07-25T05:52:23+00:00,609517172,**All Previous Year Question Papers** ⏭ https://t.me/PuneEngineers/492,10,LOW
msg_-1001474058642_481899,2026-07-25T05:52:22+00:00,6724586646,Pyq,10,LOW
msg_-1001474058642_481896,2026-07-25T05:37:24+00:00,8280600858,BE 2019 pattern result ka issue solve hua kisika?,10,LOW
msg_-1001474058642_481895,2026-07-25T05:22:37+00:00,8223161856,Anyone 3rd 2024 pattern syllabus pdf aahe ka,10,LOW
msg_-1001474058642_481893,2026-07-25T04:21:20+00:00,5975195645,Embedded processors insem papers,10,LOW
msg_-1001474058642_481885,2026-07-24T20:26:22+00:00,609517172,"User [Kt](tg://user?id=5693873423) has 1/3 warnings; be careful! **Reason:** check rules, don't do it again!",10,LOW
msg_-1001474058642_481880,2026-07-24T15:57:31+00:00,7755632681,Give mi gate study material,10,LOW
msg_-1001474058642_481878,2026-07-24T15:08:40+00:00,1875043602,ATA direct next sem la yeli vatt result 😂,10,LOW
msg_-1001474058642_481877,2026-07-24T15:08:08+00:00,1350643814,😂😂,10,LOW
msg_-1001474058642_481876,2026-07-24T15:07:44+00:00,1875043602,Bhai Udya kdhi yeto ka 😂,10,LOW
msg_-1001474058642_481874,2026-07-24T14:48:43+00:00,1350643814,Aur teri prediction,10,LOW
msg_-1001474058642_481873,2026-07-24T14:48:34+00:00,1350643814,Kidar h bhai tu,10,LOW
msg_-1001474058642_481856,2026-07-24T14:02:14+00:00,6058083324,Nhi ala na,10,LOW
msg_-1001474058642_481830,2026-07-24T13:24:52+00:00,1350643814,30 tak aayega,10,LOW
msg_-1001474058642_481826,2026-07-24T13:20:44+00:00,5696887110,kal lag sakta result?,10,LOW
msg_-1001474058642_481809,2026-07-24T12:58:15+00:00,User_-1001474058642,It was never meant to be a scholarship,10,LOW
msg_-1001474058642_481805,2026-07-24T12:53:11+00:00,5744293864,"Give unit wise notes of Os,ds,digital marketing, deld,uhv",10,LOW
msg_-1001474058642_481792,2026-07-24T12:33:39+00:00,1496087428,"""नमस्कार मित्रांनो, ​शासनाने 'Against CAP' अंतर्गत प्रवेश घेतलेल्या महाराष्ट्रातील सर्व विद्यार्थ्यांची स्कॉलरशिप रद्द केली आहे. हा आपल्या भविष्यावरील मोठा अन्याय आहे. ​याविरोधात आपल्याला हेड ऑफिसपर्यंत आवाज पोहोचवायचा आहे आणि निवेदन द्यायचे आहे. आपल्या हक्काच्या स्कॉलरशिपसाठी सर्वांनी एकत्र येण्याची हीच वेळ आहे. ​खालील इन्स्टाग्राम रील/व्हिडिओ बघून नक्की शेअर करा आणि आंदोलनात सहभागी व्हा: ज्यांचे ॲडमिशन Against CAP मधून झाले आहे, त्यांनी त्वरित हा ग्रुप जॉईन करा!""",10,LOW
msg_-1001474058642_481750,2026-07-24T11:27:21+00:00,7811752003,Updated_TE_Instrumentation_2024 Course Syllabus_24072026.pdf,10,LOW
msg_-1001474058642_481740,2026-07-24T10:53:23+00:00,8546083901,"नमस्कार मित्रांनो, ​SPPU मधील अगेन्स्ट कॅप स्कॉलरशिप रद्द झाल्यामुळे, हेड ऑफिसला अर्ज देऊन आपल्याला विरोध करायचा आहे. ​फक्त अगेन्स्ट कॅपचे विद्यार्थीच ग्रुपमध्ये जॉईन व्हा. ​पुढील आंदोलनाची दिशा ठरवण्यासाठी सर्वांनी एकत्र या!",10,LOW
msg_-1001474058642_481738,2026-07-24T10:19:08+00:00,1350643814,Bhai ab tu maaze le rha h😂😂😂😂,10,LOW
msg_-1001474058642_481737,2026-07-24T10:13:40+00:00,7811752003,😐,10,LOW
msg_-1001474058642_481735,2026-07-24T10:13:28+00:00,7811752003,Result lag gaya but SY BCOM ka.,10,LOW
msg_-1001474058642_481733,2026-07-24T09:54:15+00:00,2037695928,Okay thank you,10,LOW
msg_-1001474058642_481732,2026-07-24T09:53:52+00:00,7811752003,uni gives upto 10 marks grace,10,LOW
msg_-1001474058642_481731,2026-07-24T09:53:06+00:00,2037695928,Are you sure??,10,LOW
msg_-1001474058642_481730,2026-07-24T09:51:40+00:00,1936626231,no,10,LOW
